id,categoryname,en,de,fr
603,Fruits,quince,die Quitte,le coing
604,Fruits,raspberry,die Himbeere,la framboise
605,Fruits,redcurrant,die Johannisbeere,la groseille
606,Fruits,star fruit,die Sternfrucht,le carambole
607,Fruits,strawberry,die Erdbeere,la fraise
608,Fruits,watermelon,die Wassermelone,la pastèque
609,Leisure,angler,der Angler,le pêcheur
610,Leisure,aquarium,das Aquarium,l'aquarium
611,Leisure,bath towel,das Badetuch,la serviette de bain
612,Leisure,beach ball,der Wasserball,le water-polo
613,Leisure,belly dance,der Bauchtanz,la danse du ventre
614,Leisure,bingo,das Bingo,le bingo
615,Leisure,board,das Spielbrett,le plateau de jeu
616,Leisure,bowling,das Bowling,le bowling
617,Leisure,cable car,die Seilbahn,le téléphérique
618,Leisure,camping,das Camping,le camping
619,Leisure,camping stove,der Gaskocher,le réchaud de camping
620,Leisure,canoe trip,die Kanutour,la balade en canoë
621,Leisure,card game,das Kartenspiel,le jeu de cartes
622,Leisure,carnival,der Karneval,le carnaval
623,Leisure,carousel,das Karussell,le manège
624,Leisure,carving,die Schnitzerei,la sculpture
625,Leisure,chess game,das Schachspiel,le jeu d'échecs
626,Leisure,chess piece,die Schachfigur,la pièce d'échecs
627,Leisure,crime novel,der Kriminalroman,le roman policier
628,Leisure,crossword puzzle,das Kreuzworträtsel,les mots croisés
629,Leisure,dice,der Würfel,le cube
630,Leisure,dance,der Tanz,la danse
631,Leisure,darts,das Dartspiel,les fléchettes
632,Leisure,deckchair,der Liegestuhl,le transat
633,Leisure,dinghy,das Schlauchboot,le bateau gonflable
634,Leisure,discotheque,die Diskothek,la discothèque
635,Leisure,dominoes,das Dominospiel,les dominos
636,Leisure,embroidery,die Stickerei,la broderie
637,Leisure,fair,das Volksfest,la fête foraine
638,Leisure,ferris wheel,das Riesenrad,la grande roue
639,Leisure,festival,das Fest,la fête
640,Leisure,fireworks,das Feuerwerk,le feu d'artifice
641,Leisure,game,das Spiel,le jeu
642,Leisure,golf,das Golfspiel,le golf
643,Leisure,halma,das Halma,le Halma
644,Leisure,hike,die Wanderung,la randonnée
645,Leisure,hobby,das Hobby,les loisirs
646,Leisure,holidays,die Ferien,les vacances
647,Leisure,journey,die Reise,le voyage
648,Leisure,king,der König,le roi
649,Leisure,leisure time,die Freizeit,le temps libre
650,Leisure,loom,der Webstuhl,le métier à tisser
651,Leisure,pedal boat,das Tretboot,le pédalo
652,Leisure,picture book,das Bilderbuch,le livre d'images
653,Leisure,playground,der Spielplatz,le terrain de jeux
654,Leisure,playing card,die Spielkarte,la carte à jouer
655,Leisure,puzzle,das Puzzle,golovolomka\
656,Leisure,reading,die Lektüre,la lecture
657,Leisure,relaxation,die Erholung,le repos
658,Leisure,restaurant,das Restaurant,le restaurant
659,Leisure,rocking horse,das Schaukelpferd,le cheval à bascule
660,Leisure,roulette,das Roulette,la roulette
661,Leisure,seesaw,die Wippe,la balançoire à bascule
662,Leisure,show,die Show,le spectacle
663,Leisure,skateboard,das Skateboard,la planche à roulettes
664,Leisure,ski lift,der Skilift,la remontée mécanique
665,Leisure,skittle,der Kegel,la quille
666,Leisure,sleeping bag,der Schlafsack,le sac de couchage
667,Leisure,spectator,der Zuschauer,le spectateur
668,Leisure,story,die Geschichte,l'histoire
669,Leisure,swimming pool,das Schwimmbad,la piscine
670,Leisure,swing,die Schaukel,la balançoire
671,Leisure,table football,der Tischfußball,le baby-foot
672,Leisure,tent,das Zelt,la tente
673,Leisure,tourism,der Tourismus,le tourisme
674,Leisure,tourist,der Tourist,le touriste
675,Leisure,toy,das Spielzeug,le jouet
676,Leisure,vacation,der Urlaub,les congés
677,Leisure,walk,der Spaziergang,la promenade
678,Leisure,zoo,der Zoo,le zoo
679,Military,aircraft carrier,der Flugzeugträger,le porte-avions
680,Military,ammunition,die Munition,la munition
681,Military,armor,die Rüstung,l'armement
682,Military,army,die Armee,l'armée
683,Military,arrest,die Festnahme,l'arrestation
684,Military,atomic bomb,die Atombombe,la bombe atomique
685,Military,attack,der Angriff,l'attaque
686,Military,barbed wire,der Stacheldraht,les barbelés
687,Military,blast,die Sprengung,l'explosion
688,Military,bomb,die Bombe,la bombe
689,Military,cannon,die Kanone,le canon
690,Military,cartridge,die Patrone,la cartouche
691,Military,coat of arms,das Wappen,le blason
692,Military,defense,die Verteidigung,la défense
693,Military,destruction,die Zerstörung,la destruction
694,Military,fight,der Kampf,la lutte
695,Military,fighter-bomber,der Jagdbomber,le chasseur-bombardier
696,Military,gas mask,die Gasmaske,le masque à gaz
697,Military,guard,die Wache,la garde
698,Military,hand grenade,die Handgranate,la grenade à main
699,Military,handcuffs,die Handschellen,les menottes
700,Military,helmet,der Helm,le casque
701,Military,march,der Marsch,la marche
702,Military,medal,der Orden,la médaille
703,Military,military,das Militär,l'armée
704,Military,navy,die Marine,la marine
705,Military,peace,der Frieden,la paix
706,Military,pilot,der Pilot,le pilote
707,Military,pistol,die Pistole,le pistolet
708,Military,revolver,der Revolver,le revolver
709,Military,rifle,das Gewehr,le fusil
710,Military,rocket,die Rakete,la fusée
711,Military,shooter,der Schütze,le tireur
712,Military,shot,der Schuss,le tir
713,Military,soldier,der Soldat,le soldat
714,Military,submarine,das U-Boot,le sous-marin
715,Military,surveillance,die Überwachung,la surveillance
716,Military,sword,das Schwert,l'épée
717,Military,tank,der Panzer,le char (d'assaut)
718,Military,uniform,die Uniform,l'uniforme
719,Military,victory,der Sieg,la victoire
720,Military,winner,der Sieger,le vainqueur
721,Clothing,anorak,der Anorak,l'anorak
722,Clothing,backpack,der Rucksack,le sac à dos
723,Clothing,bathrobe,der Bademantel,le peignoir
724,Clothing,belt,der Gürtel,la ceinture
725,Clothing,bib,das Lätzchen,le bavoir
726,Clothing,bikini,der Bikini,le bikini
727,Clothing,blazer,das Sakko,le blazer
728,Clothing,blouse,die Bluse,le chemisier
729,Clothing,boots,der Stiefel,la botte
730,Clothing,bow,die Schleife,le nœud
731,Clothing,bracelet,das Armband,le bracelet
732,Clothing,brooch,die Brosche,la broche
733,Clothing,button,der Knopf,le bouton
734,Clothing,cap,die Mütze,le capuchon
735,Clothing,cap1,die Mütze,le capuchon
736,Clothing,cloakroom,die Garderobe,le vestiaire
737,Clothing,clothes,die Kleidung,les vêtements
738,Clothing,clothes peg,die Wäscheklammer,la pince à linge
739,Clothing,collar,der Kragen,le col
740,Clothing,crown,die Krone,la couronne
741,Clothing,cufflink,der Manschettenknopf,le bouton de manchette
742,Clothing,diaper,die Windel,la couche
743,Clothing,dress,das Kleid,la robe
744,Clothing,earring,der Ohrring,la boucle d'oreille
745,Clothing,fashion,die Mode,la mode
746,Clothing,flip-flops,die Badelatschen,les tongs
747,Clothing,fur,das Fell,la fourrure
748,Clothing,glove,der Handschuh,le gant
749,Clothing,gumboots,die Gummistiefel,les bottes en caoutchouc
750,Clothing,hair slide,die Haarspange,la barrette
751,Clothing,handbag,die Handtasche,le sac à main
752,Clothing,hanger,der Kleiderbügel,le cintre
753,Clothing,hat,der Hut,le chapeau
754,Clothing,headscarf,das Kopftuch,le foulard
755,Clothing,hiking boot,der Wanderschuh,la chaussure de randonnée
756,Clothing,hood,die Kapuze,la capuche
757,Clothing,jacket,die Jacke,la veste
758,Clothing,jeans,die Jeans,les jeans
759,Clothing,jewelry,der Schmuck,les bijoux
760,Clothing,laundry,die Wäsche,le linge
761,Clothing,laundry basket,der Wäschekorb,le panier à linge
762,Clothing,leather boots,der Lederstiefel,la botte de cuir
763,Clothing,mask,die Maske,le masque
764,Clothing,mitten,der Fausthandschuh,la mitaine
765,Clothing,muffler,der Schal,l'écharpe
766,Clothing,pants,die Hose,le pantalon
767,Clothing,pearl,die Perle,la perle
768,Clothing,poncho,der Poncho,le poncho
769,Clothing,press button,der Druckknopf,le bouton-pression
770,Clothing,pyjamas,der Schlafanzug,le pyjama
771,Clothing,ring,der Ring,la bague
772,Clothing,sandal,die Sandale,la sandale
773,Clothing,scarf,das Halstuch,le foulard
774,Clothing,shirt,das Hemd,la chemise
775,Clothing,shoe,der Schuh,la chaussure
776,Clothing,shoe sole,die Schuhsohle,la semelle de chaussure
777,Clothing,silk,die Seide,la soie
778,Clothing,ski boots,der Skistiefel,la chaussure de ski
779,Clothing,skirt,der Rock,la jupe
780,Clothing,slipper,der Pantoffel,la pantoufle
781,Clothing,sneaker,der Turnschuh,la chaussure de sport
782,Clothing,snow boot,der Schneestiefel,l'après-ski
783,Clothing,sock,die Socke,la chaussette
784,Clothing,special offer,teuggapum\,специальное предложение
785,Clothing,stain,der Fleck,la tache
786,Clothing,stockings,die Strümpfe,les bas
787,Clothing,straw hat,der Strohhut,le chapeau de paille
788,Clothing,stripes,die Streifen,les rayures
789,Clothing,suit,der Anzug,le costume
790,Clothing,sunglasses,die Sonnenbrille,les lunettes de soleil
791,Clothing,sweater,der Pullover,le pullover
792,Clothing,swimsuit,der Badeanzug,le maillot de bain
793,Clothing,tie,die Krawatte,la cravate
794,Clothing,top,das Oberteil,verkh\
795,Clothing,trunks,die Badehose,le slip de bain
796,Clothing,underwear,die Unterwäsche,les sous-vêtements
797,Clothing,vest,das Unterhemd,le maillot de corps
798,Clothing,waistcoat,die Weste,le gilet
799,Clothing,watch,die Armbanduhr,la montre
800,Clothing,wedding dress,das Brautkleid,la robe de mariée
801,Clothing,winter clothes,die Winterkleidung,les vêtements d'hiver
802,Clothing,zip,der Reißverschluss,la fermeture à glissière
803,Communication,address,die Adresse,l'adresse
804,Communication,alphabet,das Alphabet,l'alphabet
805,Communication,answering machine,der Anrufbeantworter,le répondeur
806,Communication,antenna,die Antenne,l'antenne
807,Communication,call,der Anruf,l'appel
808,Communication,CD,die CD,le cd
809,Communication,communication,die Kommunikation,Communication -
810,Communication,confidentiality,die Vertraulichkeit,la confidentialité
811,Communication,connection,der Anschluss,la connexion
812,Communication,discussion,die Diskussion,la discussion
813,Communication,email,die E-Mail,l'e-mail
814,Communication,entertainment,die Unterhaltung,le divertissement
815,Communication,express item,die Eilsendung,l'envoi exprès
816,Communication,fax machine,das Fax,la télécopie
817,Communication,film industry,die Filmindustrie,l'industrie du film
818,Communication,font,die Schrift,la police de caractères
819,Communication,greeting,die Begrüßung,l'accueil
820,Communication,greeting1,die Begrüßung,l'accueil
821,Communication,greeting card,die Glückwunschkarte,la carte de vœux
822,Communication,headphones,der Kopfhörer,le casque
823,Communication,icon,das Icon,l'icône
824,Communication,information,die Information,l'information
825,Communication,internet,das Internet,Internet
826,Communication,interview,das Interview,l'interview
827,Communication,keyboard,die Tastatur,le clavier
828,Communication,letter,der Buchstabe,la lettre
829,Communication,letter1,der Buchstabe,la lettre
830,Communication,magazine,die Illustrierte,le magasine
831,Communication,medium,das Medium,le média
832,Communication,microphone,das Mikrofon,le microphone
833,Communication,mobile phone,das Handy,le téléphone mobile
834,Communication,modem,das Modem,le modem
835,Communication,monitor,der Monitor,le moniteur
836,Communication,mouse pad,das Mauspad,le tapis de souris
837,Communication,news,die Nachricht,les nouvelles
838,Communication,newspaper,die Zeitung,le journal
839,Communication,noise,der Lärm,le bruit
840,Communication,note,die Notiz,la note
841,Communication,note1,die Notiz,la note
842,Communication,payphone,der Münzfernsprecher,la cabine téléphonique
843,Communication,photo,das Foto,la photo
844,Communication,photo album,das Fotoalbum,l'album photo
845,Communication,picture postcard,die Ansichtskarte,la carte postale
846,Communication,post office box,das Postfach,la boîte postale
847,Communication,radio,das Radio,la radio
848,Communication,receiver,der Hörer,l'auditeur
849,Communication,remote control,die Fernbedienung,la télécommande
850,Communication,satellite,der Satellit,le satellite
851,Communication,screen,der Bildschirm,l'écran
852,Communication,sign,das Schild,le panneau
853,Communication,signature,die Unterschrift,la signature
854,Communication,smartphone,das Smartphone,le smartphone
855,Communication,speaker,der Lautsprecher,le haut-parleur
856,Communication,stamp,die Briefmarke,le timbre
857,Communication,stationary,das Briefpapier,le papier à lettres
858,Communication,telephone call,das Telefonat,l'appel téléphonique
859,Communication,telephone conversation,das Telefongespräch,la conversation téléphonique
860,Communication,television camera,die Fernsehkamera,la caméra de télévision
861,Communication,text,der Text,le texte
862,Communication,tv,der Fernseher,la télévision
863,Communication,video cassette,die Videocassette,la cassette vidéo
864,Communication,walkie talkie,das Funkgerät,le talkie-walkie
865,Communication,web page,die Webseite,la page Web
866,Communication,word,das Wort,le mot
867,Technology,air pump,die Luftpumpe,la pompe à air
868,Technology,aerial photo,die Luftaufnahme,la photo aérienne
869,Technology,ball bearing,das Kugellager,le roulement à billes
870,Technology,battery,die Batterie,la batterie
871,Technology,bicycle chain,die Fahrradkette,la chaîne de bicyclette
872,Technology,cable,das Kabel,le câble
873,Technology,cable reel,die Kabelrolle,l'enrouleur de câble
874,Technology,camera,der Fotoapparat,l'appareil photo
875,Technology,cassette,die Kassette,la cassette
876,Technology,charger,das Ladegerät,le chargeur
877,Technology,cockpit,das Cockpit,le cockpit
878,Technology,cogwheel,das Zahnrad,la roue dentée
879,Technology,combination lock,das Kombinationsschloss,le cadenas à combinaison
880,Technology,computer,der Computer,l'ordinateur
881,Technology,crane,der Kran,la grue
882,Technology,desktop,der Desktop,le bureau
883,Technology,drilling rig,die Bohrinsel,la plate-forme de forage
884,Technology,drive,das Laufwerk,le lecteur
885,Technology,DVD,die DVD,le dvd
886,Technology,electric motor,der Elektromotor,le moteur électrique
887,Technology,energy,die Energie,l'énergie
888,Technology,excavator,der Bagger,l'excavatrice
889,Technology,fax machine,das Faxgerät,le télécopieur
890,Technology,film camera,die Filmkamera,la caméra
891,Technology,floppy disk,die Diskette,la disquette
892,Technology,goggles,die Schutzbrille,les lunettes de protection
893,Technology,hard disk,die Festplatte,le disque dur
894,Technology,joystick,der Joystick,la manette
895,Technology,key,die Taste,la touche
896,Technology,landing,die Landung,l'atterrissage
897,Technology,laptop,der Laptop,l'ordinateur portable
898,Technology,lawnmower,der Rasenmäher,la tondeuse à gazon
899,Technology,lens,das Objektiv,l'objectif
900,Technology,machine,die Maschine,la machine
901,Technology,marine propeller,die Schiffsschraube,l'hélice marine
902,Technology,mine,das Bergwerk,la mine
903,Technology,multiple socket,der Mehrfachstecker,la prise multiple
904,Technology,printer,der Drucker,l'imprimante
905,Technology,program,das Programm,le programme
906,Technology,propeller,der Propeller,l'hélice
907,Technology,pump,die Pumpe,la pompe
908,Technology,record player,der Plattenspieler,le tourne-disque
909,Technology,remote control,die Fernsteuerung,la télécommande
910,Technology,robot,der Roboter,le robot
911,Technology,satellite antenna,die Satellitenantenne,l'antenne satellite
912,Technology,sewing machine,die Nähmaschine,la machine à coudre
913,Technology,slide film,der Diafilm,la diapositive
914,Technology,solar technology,die Solartechnik,la technologie solaire
915,Technology,space shuttle,die Raumfähre,la navette spatiale
916,Technology,steamroller,die Dampfwalze,le rouleau compresseur
917,Technology,suspension,die Aufhängung,la suspension
918,Technology,switch,der Schalter,l'interrupteur
919,Technology,tape measure,das Maßband,le mètre ruban
920,Technology,technology,die Technik,la technologie
921,Technology,telephone,das Telefon,le téléphone
922,Technology,telephoto lens,das Teleobjektiv,le téléobjectif
923,Technology,telescope,das Teleskop,le télescope
924,Technology,usb flash drive,der USB-Stick,la clé USB
925,Technology,valve,das Ventil,la soupape
926,Technology,video camera,die Videokamera,la caméra vidéo
927,Technology,voltage,die Voltzahl,la tension
928,Technology,water wheel,das Wasserrad,la roue à eau
929,Technology,wind turbine,die Windkraftanlage,l'éolienne
930,Technology,windmill,die Windmühle,le moulin à vent
931,Apartment,air conditioner,die Klimaanlage,le climatiseur
932,Apartment,apartment,das Apartment,l'appartement
933,Apartment,balcony,der Balkon,le balcon
934,Apartment,basement,der Keller,le sous-sol
935,Apartment,bath tub,die Badewanne,la baignoire
936,Apartment,bathroom,das Badezimmer,la salle de bain
937,Apartment,bell,die Klingel,la sonnette
938,Apartment,blind,die Jalousie,le store vénitien
939,Apartment,chimney,der Schornstein,le conduit de cheminée
940,Apartment,cleaning agent,das Putzmittel,le produit d'entretien
941,Apartment,cooler,das Kühlgerät,l'appareil de refroidissement
942,Apartment,counter,die Theke,le comptoir
943,Apartment,crack,der Riss,la déchirure
944,Apartment,cushion,das Kissen,le coussin
945,Apartment,door,die Tür,la porte
946,Apartment,door knocker,der Türklopfer,le heurtoir
947,Apartment,dustbin,die Mülltonne,la poubelle
948,Apartment,elevator,der Aufzug,l'ascenseur
949,Apartment,entrance,der Eingang,l'entrée
950,Apartment,fence,der Zaun,la clôture
951,Apartment,fire alarm,der Feueralarm,l'alarme incendie
952,Apartment,fireplace,der Kamin,la cheminée
953,Apartment,flower pot,der Blumentopf,le pot de fleur
954,Apartment,garage,die Garage,le garage
955,Apartment,garden,der Garten,le jardin
956,Apartment,heating,die Heizung,le chauffage
957,Apartment,house,das Haus,la maison
958,Apartment,house number,die Hausnummer,le numéro de la maison
959,Apartment,ironing board,das Bügelbrett,la planche à repasser
960,Apartment,kitchen,die Küche,la cuisine
961,Apartment,landlord,der Vermieter,le propriétaire
962,Apartment,light switch,der Lichtschalter,l'interrupteur
963,Apartment,living room,das Wohnzimmer,le salon
964,Apartment,mailbox,der Postkasten,la boîte aux lettres
965,Apartment,marble,der Marmor,le marbre
966,Apartment,outlet,die Steckdose,la prise de courant
967,Apartment,pool,der Pool,la piscine
968,Apartment,porch,die Veranda,la véranda
969,Apartment,radiator,der Heizkörper,le radiateur
970,Apartment,relocation,der Umzug,le déménagement
971,Apartment,renting,die Vermietung,la location
972,Apartment,restroom,das WC,les WC
973,Apartment,roof tiles,der Dachziegel,les tuiles
974,Apartment,shower,die Dusche,la douche
975,Apartment,stairs,die Treppe,l'escalier
976,Apartment,stove,der Ofen,le poêle
977,Apartment,study,das Arbeitszimmer,le bureau
978,Apartment,tap,der Wasserhahn,le robinet
979,Apartment,tile,die Fliese,le carrelage
980,Apartment,toilet,die Toilette,les toilettes
981,Apartment,vacuum cleaner,der Staubsauger,l'aspirateur
982,Apartment,wall,die Wand,le mur
983,Apartment,wallpaper,die Tapete,le papier peint
984,Apartment,window,das Fenster,la fenêtre
985,Food,appetite,der Appetit,l'appétit
986,Food,appetizer,die Vorspeise,l'entrée
987,Food,bacon,der Schinken,le jambon
988,Food,birthday cake,die Geburtstagstorte,le gâteau d'anniversaire
989,Food,biscuit,der Keks,le biscuit
990,Food,bratwurst,die Bratwurst,la saucisse grillée
991,Food,bread,das Brot,le pain
992,Food,breakfast,das Frühstück,le petit déjeuner
993,Food,bun,das Brötchen,le petit pain
994,Food,butter,die Butter,le beurre
995,Food,cafeteria,die Kantine,la cantine
996,Food,cake,der Kuchen,le gâteau
997,Food,candy,das Bonbon,le bonbon
998,Food,cashew nut,die Cashewnuss,la noix de cajou
999,Food,cheese,der Käse,le fromage
1000,Food,chewing gum,der Kaugummi,le chewing-gum
1001,Food,chicken,das Hähnchen,le poulet
1002,Food,chocolate,die Schokolade,le chocolat
1003,Food,coconut,die Kokosnuss,la noix de coco
1004,Food,coffee beans,die Kaffeebohnen,les grains de café
1005,Food,cream,die Sahne,la crème fraîche
1006,Food,cumin,der Kümmel,le cumin
1007,Food,dessert,der Nachtisch,le dessert
1008,Food,dessert1,der Nachtisch,le dessert
1009,Food,dinner,das Abendessen,le dîner
1010,Food,dish,das Gericht,le plat
1011,Food,dough,der Teig,la pâte
1012,Food,egg,das Ei,l'œuf
1013,Food,flour,das Mehl,la farine
1014,Food,French fries,die Pommes frites,les frites
1015,Food,fried egg,das Spiegelei,l'œuf sur le plat
1016,Food,hazelnut,die Haselnuss,la noisette
1017,Food,ice cream,die Eiscreme,la crème glacée
1018,Food,ketchup,das Ketchup,le ketchup
1019,Food,lasagna,die Lasagne,la lasagne
1020,Food,licorice,die Lakritze,le réglisse
1021,Food,lunch,das Mittagessen,le déjeuner
1022,Food,macaroni,die Makkaroni,les macaronis
1023,Food,mashed potatoes,der Kartoffelbrei,la purée de pommes de terre
1024,Food,meat,das Fleisch,la viande
1025,Food,mushroom,der Champignon,le champignon
1026,Food,noodle,die Nudel,la nouille
1027,Food,oatmeal,die Haferflocken,les flocons d'avoine
1028,Food,paella,die Paella,la paella
1029,Food,pancake,der Pfannkuchen,la crêpe
1030,Food,peanut,die Erdnuss,l'arachide
1031,Food,pepper,der Pfeffer,le poivre
1032,Food,pepper shaker,der Pfefferstreuer,la poivrière
1033,Food,peppermill,die Pfeffermühle,le moulin à poivre
1034,Food,gherkin,die Essiggurke,le cornichon
1035,Food,pie,die Pastete,la quiche
1036,Food,pizza,die Pizza,la pizza
1037,Food,popcorn,das Popcorn,le pop-corn
1038,Food,potato,die Kartoffel,la pomme de terre
1039,Food,potato chips,die Kartoffelchips,les chips
1040,Food,praline,die Praline,la praline
1041,Food,pretzel sticks,die Salzstangen,les bâtonnets de bretzel
1042,Food,raisin,die Rosine,le raisin sec
1043,Food,rice,der Reis,le riz
1044,Food,roast pork,der Schweinebraten,le rôti de porc
1045,Food,salad,der Salat,la salade
1046,Food,salami,die Salami,le salami
1047,Food,salmon,der Lachs,le saumon
1048,Food,salt shaker,der Salzstreuer,la salière
1049,Food,sandwich,das Sandwich,le sandwich
1050,Food,sauce,die Soße,la sauce
1051,Food,sausage,die Wurst,la saucisse
1052,Food,sesame,der Sesam,le sésame
1053,Food,soup,die Suppe,la soupe
1054,Food,spaghetti,die Spaghetti,les spaghettis
1055,Food,spice,das Gewürz,l'épice
1056,Food,steak,das Steak,le steak
1057,Food,strawberry tart,die Erdbeertorte,la tarte aux fraises
1058,Food,sugar,der Zucker,le sucre
1059,Food,sundae,der Eisbecher,le petit pot de glace
1060,Food,sunflower seeds,die Sonnenblumenkerne,les graines de tournesol
1061,Food,sushi,das Sushi,le sushi
1062,Food,tart,die Torte,la tarte
1063,Food,toast,der Toast,le toast
1064,Food,waffle,die Waffel,la gaufre
1065,Food,waiter,die Bedienung,le serveur
1066,Food,walnut,die Walnuss,la noix
1067,Occupations,architect,der Architekt,l'architecte
1068,Occupations,astronaut,der Astronaut,l'astronaute
1069,Occupations,barber,der Friseur,le coiffeur
1070,Occupations,blacksmith,der Schmied,le forgeron
1071,Occupations,boxer,der Boxer,le boxeur
1072,Occupations,bullfighter,der Stierkämpfer,le torero
1073,Occupations,bureaucrat,der Bürokrat,le bureaucrate
1074,Occupations,business trip,die Dienstreise,le voyage d'affaires
1075,Occupations,businessman,der Geschäftsmann,l'homme d'affaires
1076,Occupations,butcher,der Metzger,le boucher
1077,Occupations,car mechanic,der Automechaniker,le mécanicien auto
1078,Occupations,caretaker,der Hausmeister,le gardien
1079,Occupations,cleaning lady,die Putzfrau,la femme de ménage
1080,Occupations,clown,der Clown,le clown
1081,Occupations,colleague,der Kollege,le collègue
1082,Occupations,conductor,der Dirigent,le chef d'orchestre
1083,Occupations,cook,der Koch,le cuisinier
1084,Occupations,cowboy,der Cowboy,le cow-boy
1085,Occupations,dentist,der Zahnarzt,le dentiste
1086,Occupations,detective,der Detektiv,le détective
1087,Occupations,diver,der Taucher,le plongeur
1088,Occupations,doctor,der Arzt,le médecin
1089,Occupations,doctor1,der Arzt,le médecin
1090,Occupations,electrician,der Elektriker,l'électricien
1091,Occupations,female student,die Schülerin,l'écolière
1092,Occupations,fireman,der Feuerwehrmann,le pompier
1093,Occupations,fisherman,der Fischer,le pêcheur
1094,Occupations,football player,der Fußballspieler,le joueur de football
1095,Occupations,gangster,der Gangster,le gangster
1096,Occupations,gardener,der Gärtner,le jardinier
1097,Occupations,golfer,der Golfspieler,le golfeur
1098,Occupations,guitarist,der Gitarrist,le guitariste
1099,Occupations,hunter,der Jäger,le chasseur
1100,Occupations,interior designer,der Dekorateur,l'architecte d'intérieur
1101,Occupations,judge,der Richter,le juge
1102,Occupations,kayaker,der Kajakfahrer,le kayakiste
1103,Occupations,magician,der Zauberer,le magicien
1104,Occupations,male student,der Schüler,l'écolier
1105,Occupations,marathon runner,der Marathonläufer,le marathonien
1106,Occupations,musician,der Musiker,le musicien
1107,Occupations,nun,die Nonne,la religieuse
1108,Occupations,occupation,der Beruf,le métier
1109,Occupations,ophthalmologist,der Augenarzt,l'ophtalmologiste
1110,Occupations,optician,der Optiker,l'opticien
1111,Occupations,painter,der Maler,le peintre
1112,Occupations,paper boy,der Zeitungsbote,le livreur de journaux
1113,Occupations,photographer,der Fotograf,le photographe
1114,Occupations,pirate,der Pirat,le pirate
1115,Occupations,plumber,der Klempner,le plombier
1116,Occupations,policeman,der Polizist,le policier
1117,Occupations,porter,der Gepäckträger,le porteur
1118,Occupations,prisoner,der Gefangene,le prisonnier
1119,Occupations,secretary,die Sekretärin,le secrétaire
1120,Occupations,spy,der Spion,l'espion
1121,Occupations,surgeon,der Chirurg,le chirurgien
1122,Occupations,teacher,die Lehrerin,l'enseignante
1123,Occupations,thief,der Dieb,le voleur
1124,Occupations,truck driver,der Lkw-Fahrer,le chauffeur de poids lourds
1125,Occupations,unemployment,die Arbeitslosigkeit,le chômage
1126,Occupations,waitress,die Kellnerin,la serveuse
1127,Occupations,window cleaner,der Fensterputzer,le laveur de vitres
1128,Occupations,work,die Arbeit,le travail
1129,Occupations,worker,der Arbeiter,le travailleur
1130,Vegetables,Brussels sprout,der Rosenkohl,le chou de Bruxelles
1131,Vegetables,artichoke,die Artischocke,l'artichaut
1132,Vegetables,asparagus,der Spargel,l'asperge
1133,Vegetables,avocado,die Avocado,l'avocat
1134,Vegetables,beans,die Bohnen,les haricots
1135,Vegetables,bell pepper,die Paprika,le poivron
1136,Vegetables,broccoli,der Brokkoli,le brocoli
1137,Vegetables,cabbage,der Kohl,le chou
1138,Vegetables,cabbage turnip,der Kohlrabi,le chou-rave
1139,Vegetables,carrot,die Karotte,la carotte
1140,Vegetables,cauliflower,der Blumenkohl,le chou-fleur
1141,Vegetables,celery,der Sellerie,le céleri
1142,Vegetables,chicory,der Chicorée,la chicorée
1143,Vegetables,chili,der Chili,le piment fort
1144,Vegetables,corn,der Mais,le maïs
1145,Vegetables,cucumber,die Gurke,le concombre
1146,Vegetables,eggplant,die Aubergine,l'aubergine
1147,Vegetables,fennel,der Fenchel,le fenouil
1148,Vegetables,garlic,der Knoblauch,l'ail
1149,Vegetables,green cabbage,der Grünkohl,le chou vert
1150,Vegetables,kale,der Mangold,la bette
1151,Vegetables,leek,der Lauch,le poireau
1152,Vegetables,lettuce,der Kopfsalat,la laitue
1153,Vegetables,okra,die Okra,le gombo
1154,Vegetables,olive,die Olive,l'olive
1155,Vegetables,onion,die Zwiebel,l'oignon
1156,Vegetables,parsley,die Petersilie,le persil
1157,Vegetables,pea,die Erbse,le petit pois
1158,Vegetables,pumpkin,der Kürbis,la citrouille
1159,Vegetables,pumpkin seeds,die Kürbiskerne,les graines de citrouille
1160,Vegetables,radish,das Radieschen,le radis
1161,Vegetables,red cabbage,der Rotkohl,le chou rouge
1162,Vegetables,red pepper,die Peperoni,le piment
1163,Vegetables,spinach,der Spinat,les épinards
1164,Vegetables,sweet potato,die Süßkartoffel,la patate douce
1165,Vegetables,tomato,die Tomate,la tomate
1166,Vegetables,vegetables,das Gemüse,les légumes
1167,Vegetables,zucchini,die Zucchini,la courgette
1168,Objects,aerosol can,die Spraydose,l'aérosol
1169,Objects,ashtray,der Aschenbecher,le cendrier
1170,Objects,baby scale,die Babywaage,le pèse-bébé
1171,Objects,ball,die Kugel,la boule
1172,Objects,balloon,der Luftballon,le ballon de baudruche
1173,Objects,bangle,der Armreif,le bracelet
1174,Objects,binocular,das Fernglas,les jumelles
1175,Objects,blanket,die Decke,la couverture
1176,Objects,blender,der Mixer,le mixer
1177,Objects,book,das Buch,le livre
1178,Objects,bulb,die Glühbirne,l'ampoule
1179,Objects,can,die Dose,la boîte
1180,Objects,candle,die Kerze,la bougie
1181,Objects,candleholder,der Kerzenhalter,le chandelier
1182,Objects,case,das Etui,l'étui
